date,open,high,low,close,volume
1985-06-07,1.4464,1.4506,1.4396,1.4396,1108800
1985-06-10,1.4396,1.4396,1.4199,1.4264,1387200
1985-06-11,1.4264,1.4264,1.4066,1.4066,740400
1985-06-12,1.4066,1.4066,1.3999,1.4043,3122400
1985-06-13,1.4066,1.4110,1.3955,1.3999,2952000
1985-06-14,1.3976,1.3999,1.3934,1.3999,1292400
1985-06-17,1.3999,1.3999,1.3888,1.3955,619200
1985-06-18,1.3955,1.4087,1.3955,1.4043,1843200
1985-06-19,1.4087,1.4132,1.4043,1.4110,1131600
1985-06-20,1.4087,1.4176,1.4043,1.4153,4318800
1985-06-21,1.4132,1.4331,1.4110,1.4331,2731200
1985-06-24,1.4308,1.4441,1.4241,1.4396,1695600
1985-06-25,1.4441,1.4485,1.4418,1.4464,1070400
1985-06-26,1.4506,1.4596,1.4441,1.4573,1453200
1985-06-27,1.4617,1.4706,1.4596,1.4683,2260800
1985-06-28,1.4729,1.4838,1.4640,1.4838,2667600
1985-07-01,1.4926,1.5015,1.4861,1.4994,1351200
1985-07-02,1.5015,1.5059,1.4971,1.4994,12468000
1985-07-03,1.4729,1.4771,1.4683,1.4729,1195200
1985-07-05,1.4750,1.4794,1.4729,1.4750,799200
1985-07-08,1.4750,1.4794,1.4729,1.4794,1480800
1985-07-09,1.4794,1.4838,1.4750,1.4771,638400
1985-07-10,1.4815,1.4971,1.4794,1.4905,1545600
1985-07-11,1.4905,1.5126,1.4905,1.5080,1592400
1985-07-12,1.5126,1.5412,1.5103,1.5412,1249200
1985-07-15,1.5412,1.5589,1.5412,1.5545,1418400
1985-07-16,1.5545,1.5610,1.5500,1.5545,1456800
1985-07-17,1.5566,1.5633,1.5500,1.5523,1533600
1985-07-18,1.5456,1.5478,1.5236,1.5324,1634400
1985-07-19,1.5147,1.5236,1.5015,1.5015,3247200
1985-07-22,1.5015,1.5080,1.4794,1.4815,3220800
1985-07-23,1.4815,1.4838,1.4153,1.4264,3049200
1985-07-24,1.4396,1.4441,1.4176,1.4264,2643600
1985-07-25,1.4285,1.4308,1.4220,1.4241,1269600
1985-07-26,1.4220,1.4352,1.4132,1.4308,2097600
1985-07-29,1.4308,1.4308,1.4199,1.4220,2160000
1985-07-30,1.4176,1.4352,1.4153,1.4352,1040400
1985-07-31,1.4352,1.4418,1.4308,1.4375,1808400
1985-08-01,1.4375,1.4617,1.4375,1.4550,1718400
1985-08-02,1.4550,1.4550,1.4241,1.4264,6427200
1985-08-05,1.4331,1.4331,1.4153,1.4153,1190400
1985-08-06,1.4176,1.4220,1.3955,1.3955,1496400
1985-08-07,1.3911,1.3999,1.3822,1.3934,1443600
1985-08-08,1.3976,1.4573,1.3955,1.4308,948000
1985-08-09,1.4375,1.4396,1.4241,1.4331,1212000
1985-08-12,1.4285,1.4308,1.4241,1.4264,572400
1985-08-13,1.4308,1.4396,1.4264,1.4331,654000
1985-08-14,1.4308,1.4441,1.4308,1.4396,525600
1985-08-15,1.4418,1.4441,1.4331,1.4418,558000
1985-08-16,1.4375,1.4418,1.4352,1.4352,481200
